Tempo;Altura;Velocidade;Força do Motor;Força de Tração;Energia do  Motor;Custo de Energia (R$)
3,1835914000039;12,636012490725;22,315881999966;6040;3320;132935,99079988;407,57267528798
3,2008898000058;13,028026236808;22,661850000004;6040;3320;134787,9272798;419,92823528862
3,2167690999995;13,392923594735;22,979435999878;6040;3320;136877,57400002;432,47534623863
3,2337375999996;13,788608754346;23,318805999879;6040;3320;138795,79343926;445,19829397056
3,2507169000019;14,190311689684;23,658391999925;6040;3320;140845,58823927;458,10913955916
3,266641400005;14,572131547169;23,976881999988;6040;3320;142896,68767955;471,20800259645
3,2839395000046;14,992870534955;24,32284399998;6040;3320;144820,36727993;484,48320293044
3,3000450000036;15,389789841576;24,644953999959;6040;3320;146909,97775988;497,94995089177
3,3168834000026;15,810442069274;24,981721999939;6040;3320;148855,52215975;511,59504042308
3,3339194;16,24183519112;25,322441999888;6040;3320;150889,60087963;525,42658717038
3,3501044000004;16,656917999398;25,646141999896;6040;3320;152947,54967932;539,44677922431
3,3674696000016;17,108299387908;25,99344599992;6040;3320;154902,69767937;553,64619317826
3,3835685000013;17,531948767331;26,315423999913;6040;3320;157000,41383952;568,03789778021
3,4005309999993;17,984078675001;26,654673999874;6040;3320;158945,16095947;582,60787086816
3,4174655000024;18,441197797742;26,993363999936;6040;3320;160994,23095924;597,36567537276
3,4335512000034;18,880579947953;27,315077999956;6040;3320;163039,91855962;612,31100124073
3,450880000004;19,359923217803;27,661653999967;6040;3320;164983,07111973;627,4344494267
3,4668330000059;19,806299548298;27,980714000005;6040;3320;167076,3901598;642,74978519135
3,4838825000043;20,2891704406;28,321703999973;6040;3320;169003,51256003;658,24177384268
3,5009166000018;20,777408389891;28,662385999924;6040;3320;171063,09215983;673,92255729067
3,5172403000033;21,250613843916;28,988859999954;6040;3320;173120,81143954;689,79196500596
3,534092599999;21,744822809471;29,325905999867;6040;3320;175092,71439972;705,8421304926
3,5508868000034;22,242968843217;29,661789999955;6040;3320;177128,4722392;722,07890711453
3,5669608000026;22,724919925173;29,983269999939;6040;3320;179157,21159973;738,50165151117
3,5840697000021;23,243754982446;30,32544799993;6040;3320;181098,95079963;755,1023886678
3,6014616000029;23,777221705253;30,673285999947;6040;3320;183165,70591958;771,8925783771
